Time,AMF Utilization (%)
0,68.61666666666667
10,67.475
20,65.38333333333334
30,63.416666666666664
40,59.166666666666664
50,57.858333333333334
60,56.08333333333333
70,53.48333333333334
80,52.0
90,50.141666666666666
100,48.43333333333334
110,48.675000000000004
120,47.333333333333336
130,45.141666666666666
140,43.88333333333333
150,41.766666666666666
160,42.16666666666667
170,40.53333333333333
180,40.1
190,39.2
200,39.233333333333334
210,37.65
220,37.56666666666666
230,37.958333333333336
240,36.4
250,35.74166666666667
260,35.041666666666664
270,35.291666666666664
280,35.65
290,34.75
300,35.18333333333333
310,35.0
320,35.25
330,35.30833333333334
340,35.766666666666666
350,35.266666666666666
360,35.61666666666667
370,34.78333333333333
380,35.858333333333334
390,35.96666666666667
400,36.46666666666666
410,38.266666666666666
420,37.475
430,38.266666666666666
440,39.21666666666667
450,41.108333333333334
460,42.20833333333333
470,43.525000000000006
480,48.24166666666667
490,49.31666666666666
500,51.2
510,54.383333333333326
520,56.18333333333333
530,58.62500000000001
540,63.53333333333333
550,65.88333333333334
560,67.95
570,70.775
580,74.89166666666667
590,76.425
600,78.20833333333333
610,40.108333333333334
620,39.891666666666666
630,40.28333333333333
640,41.92916666666667
650,41.70833333333333
660,42.44166666666666
670,41.21666666666667
680,41.329166666666666
690,42.895833333333336
700,42.954166666666666
710,42.645833333333336
720,42.93333333333334
730,43.4625
740,43.75416666666666
750,43.125
760,43.079166666666666
770,42.608333333333334
780,41.125
790,42.05833333333333
800,41.175
810,41.19166666666666
820,41.99583333333333
830,41.92916666666667
840,41.4875
850,42.108333333333334
860,41.94583333333333
870,42.05
880,41.18333333333333
890,40.329166666666666
900,42.09583333333333
910,42.2375
920,41.516666666666666
930,41.47083333333333
940,42.77916666666667
950,42.99166666666667
960,41.975
970,42.775
980,42.6
990,42.145833333333336
1000,43.44583333333333
1010,44.858333333333334
1020,46.0625
1030,45.40416666666667
1040,47.27916666666667
1050,46.00833333333333
1060,45.8375
1070,46.454166666666666
1080,46.63333333333333
1090,45.1125
1100,48.20833333333333
1110,47.420833333333334
1120,47.137499999999996
1130,46.47083333333333
1140,45.94583333333333
1150,45.08333333333333
1160,44.71666666666667
1170,44.6
1180,42.395833333333336
1190,42.62916666666667
1200,42.49583333333333
1210,42.5875
1220,42.25
1230,41.78333333333333
1240,42.916666666666664
1250,41.358333333333334
1260,40.37916666666666
1270,39.93333333333333
1280,39.02916666666666
1290,73.02380952380952
1300,76.08910891089108
1310,76.30833333333334
1320,77.93333333333334
1330,75.44166666666666
1340,74.6
1350,71.0
1360,69.81666666666668
1370,67.21666666666667
1380,66.29166666666667
1390,65.46666666666667
1400,62.975
1410,59.824999999999996
1420,57.825
1430,56.3
1440,54.833333333333336
1450,53.53333333333333
1460,52.2
1470,50.824999999999996
1480,50.24999999999999
1490,50.34166666666666
1500,48.11666666666667
1510,46.166666666666664
1520,45.375
1530,44.725
1540,43.8
1550,42.59166666666667
1560,41.983333333333334
1570,41.28333333333333
1580,40.45
1590,39.550000000000004
1600,38.425
1610,38.266666666666666
1620,37.641666666666666
1630,37.90833333333333
1640,37.275000000000006
1650,37.25833333333333
1660,37.05833333333333
1670,37.09166666666667
1680,37.083333333333336
1690,36.833333333333336
1700,36.16666666666667
1710,36.25
1720,36.141666666666666
1730,35.81666666666667
1740,37.108333333333334
1750,38.11666666666667
1760,37.36666666666667
1770,38.475
1780,39.125
1790,39.225
1800,40.458333333333336
1810,42.583333333333336
1820,43.95
1830,46.975
1840,50.425
1850,53.03333333333333
1860,57.30833333333333
1870,62.56666666666667
1880,68.60833333333333
1890,74.03333333333333
1900,81.16666666666667
1910,42.05416666666667
1920,45.3125
1930,45.71666666666667
1940,46.916666666666664
1950,48.0125
1960,47.59583333333333
1970,47.52916666666667
1980,49.0
1990,48.9
2000,47.4375
2010,48.11666666666667
2020,48.025
2030,47.66666666666667
2040,48.50833333333333
2050,48.25
2060,48.7375
2070,47.8375
2080,47.56666666666667
2090,47.670833333333334
2100,47.74583333333333
2110,48.733333333333334
2120,48.00833333333333
2130,47.733333333333334
2140,47.75416666666666
2150,47.53333333333333
2160,47.983333333333334
2170,47.575
2180,46.9875
2190,48.40416666666666
2200,47.041666666666664
2210,46.362500000000004
2220,46.704166666666666
2230,46.47083333333333
2240,46.7375
2250,47.362500000000004
2260,48.19166666666666
2270,48.083333333333336
2280,48.15
2290,47.67916666666667
2300,47.72083333333333
2310,46.975
2320,46.329166666666666
2330,46.7625
2340,48.06666666666667
2350,48.21666666666667
2360,47.50833333333333
2370,49.512499999999996
2380,48.516666666666666
2390,49.2125
2400,48.90833333333333
2410,49.3625
2420,48.3875
2430,49.07083333333333
2440,50.76666666666667
2450,49.975
2460,51.545833333333334
2470,51.483333333333334
2480,50.50416666666667
2490,51.387499999999996
2500,51.145833333333336
2510,51.079166666666666
2520,51.520833333333336
2530,51.145833333333336
2540,53.32916666666667
2550,52.39166666666667
2560,51.80416666666666
2570,52.29583333333333
2580,49.80833333333333
2590,49.666666666666664
2600,48.270833333333336
2610,47.52916666666667
2620,45.4625
2630,45.3625
2640,44.2
2650,44.012499999999996
2660,42.795833333333334
2670,43.55833333333333
2680,43.22083333333334
2690,42.912499999999994
2700,42.520833333333336
2710,42.483333333333334
2720,40.975
2730,40.6625
2740,77.15079365079364
2750,75.78382838283828
2760,77.2
2770,77.46666666666667
2780,76.60833333333333
2790,74.20833333333333
2800,73.925
2810,73.225
2820,72.35833333333333
2830,66.60000000000001
2840,64.45
2850,63.775000000000006
2860,59.50833333333333
2870,57.983333333333334
2880,57.68333333333333
2890,54.84166666666667
2900,52.449999999999996
2910,51.65833333333333
2920,49.28333333333333
2930,48.25
2940,48.35
2950,47.125
2960,45.74166666666667
2970,44.81666666666666
2980,43.875
2990,42.5
3000,41.81666666666667
3010,42.5
3020,40.69166666666666
3030,40.516666666666666
3040,40.19166666666666
3050,39.516666666666666
3060,44.1
3070,42.70833333333333
3080,39.34166666666667
3090,38.31666666666666
3100,38.3
3110,38.88333333333333
3120,37.96666666666667
3130,37.43333333333334
3140,38.65833333333333
3150,37.391666666666666
3160,37.96666666666667
3170,38.53333333333334
3180,37.583333333333336
3190,39.166666666666664
3200,39.825
3210,39.074999999999996
3220,39.85
3230,41.09166666666667
3240,41.71666666666667
3250,43.55
3260,45.5
3270,48.71666666666667
3280,52.86666666666666
3290,56.88333333333333
3300,59.61666666666666
3310,63.824999999999996
3320,68.16666666666666
3330,74.40833333333333
3340,77.90833333333333
3350,40.92916666666667
3360,44.5625
3370,46.5875
3380,46.975
3390,48.15833333333333
3400,49.375
3410,48.59583333333333
3420,49.6
3430,49.34583333333333
3440,50.15833333333334
3450,50.17916666666666
3460,51.21666666666667
3470,49.38333333333333
3480,49.62916666666667
3490,49.766666666666666
3500,49.52916666666667
3510,49.30416666666667
