Time,AMF Utilization (%)
0,75.40416666666667
10,74.08749999999999
20,64.05416666666667
30,65.6625
40,60.354166666666664
50,55.52916666666666
60,50.175000000000004
70,39.666666666666664
80,37.81666666666666
90,31.825
100,29.84583333333333
110,27.975
120,20.9
130,17.65
140,26.03968253968254
150,23.465346534653463
160,19.708333333333332
170,17.5
180,16.266666666666666
190,14.616666666666667
200,10.225
210,7.3916666666666675
220,8.441666666666666
230,6.6083333333333325
240,5.858333333333333
250,5.516666666666667
260,4.658333333333333
270,3.966666666666667
280,2.666666666666667
290,2.7083333333333335
300,2.0166666666666666
310,2.2083333333333335
320,3.0583333333333336
330,1.625
340,0.7666666666666666
350,0.775
360,1.1083333333333334
370,3.283333333333333
380,2.6083333333333334
390,1.1333333333333333
400,2.8833333333333333
410,3.0916666666666663
420,1.1583333333333332
430,2.433333333333333
440,3.025
450,3.3416666666666663
460,4.391666666666667
470,7.074999999999999
480,5.158333333333333
490,8.591666666666667
500,11.466666666666667
510,13.575000000000001
520,17.983333333333334
530,16.225
540,25.508333333333333
550,34.36666666666667
560,36.4
570,46.791666666666664
580,56.675
590,64.60833333333333
600,81.66666666666667
610,45.975
620,47.5125
630,51.29583333333333
640,56.3875
650,57.920833333333334
660,65.13333333333333
670,68.55416666666667
680,73.08333333333333
690,73.725
700,78.68333333333334
710,79.12916666666666
720,82.5375
730,87.13333333333333
740,57.913888888888884
750,61.03055555555555
760,61.99444444444444
770,59.52777777777778
780,60.51111111111111
790,58.20277777777778
800,82.09349593495935
810,87.39635157545605
820,85.48750000000001
830,89.1125
840,89.51666666666667
850,92.04166666666667
860,89.64166666666667
870,94.44166666666666
880,90.3
890,93.34583333333333
900,92.45416666666667
910,63.7
920,63.77222222222222
930,63.475
940,65.93333333333334
950,67.84166666666667
960,65.58888888888889
970,67.55
980,65.6361111111111
990,67.6361111111111
1000,70.10555555555555
1010,70.51944444444445
1020,74.86388888888888
1030,75.04722222222222
1040,73.66944444444444
1050,72.53055555555555
1060,73.85277777777777
1070,75.03611111111111
1080,71.875
1090,73.16944444444444
1100,71.45555555555556
1110,73.16111111111111
1120,73.94166666666668
1130,69.96666666666667
1140,70.5638888888889
1150,72.6861111111111
1160,70.13333333333334
1170,68.00555555555555
1180,65.88333333333334
1190,63.93333333333333
1200,60.58611111111111
1210,62.125
1220,62.975
1230,60.68055555555556
1240,57.86944444444444
1250,55.019444444444446
1260,55.900000000000006
1270,53.90833333333334
1280,79.8739837398374
1290,79.0547263681592
1300,77.14999999999999
1310,77.08749999999999
1320,73.08333333333333
1330,71.85833333333333
1340,69.9875
1350,65.80833333333334
1360,64.5
1370,58.954166666666666
1380,56.09166666666666
1390,53.300000000000004
1400,49.97916666666667
1410,43.44166666666667
1420,39.18333333333333
1430,35.8875
1440,34.675
1450,55.6984126984127
1460,42.23597359735974
1470,39.475
1480,33.141666666666666
1490,33.00833333333333
1500,24.78333333333333
1510,21.541666666666668
1520,20.075000000000003
1530,16.15833333333333
1540,14.708333333333334
1550,13.450000000000001
1560,10.116666666666667
1570,11.033333333333333
1580,9.775
1590,7.049999999999999
1600,6.800000000000001
1610,5.525
1620,4.65
1630,4.775
1640,4.291666666666667
1650,3.241666666666667
1660,3.125
1670,3.6833333333333336
1680,3.4666666666666663
1690,3.241666666666667
1700,2.9583333333333335
1710,2.833333333333333
1720,3.4000000000000004
1730,2.533333333333333
1740,2.3333333333333335
1750,3.4166666666666665
1760,2.6833333333333336
1770,2.0
1780,2.7083333333333335
1790,1.9833333333333334
1800,2.7166666666666663
1810,2.0166666666666666
1820,3.6166666666666667
1830,3.5999999999999996
1840,5.858333333333333
1850,8.958333333333334
1860,15.958333333333332
1870,21.099999999999998
1880,30.25
1890,55.03333333333333
1900,74.10833333333333
1910,52.416666666666664
